City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Property Type,Square Footage
Kelowna,BC,49.8793366,-119.4471496,724900.0,2.0,2.0,Condo/Townhome,1475.0
Canal Flats,BC,50.1555367,-115.8159485,214900.0,2.0,1.0,Single Family,717.0
Kelowna,BC,49.8602288,-119.4861502,349900.0,1.0,1.0,Condo,619.0
Kamloops,BC,50.7304115,-120.0393372,920000.0,3.0,3.0,Single Family,2033.0
Powell River,BC,49.8336983,-124.5161591,779000.0,3.0,2.0,Single Family,2160.0
Kamloops,BC,50.662455,-120.2571423,649900.0,4.0,3.0,Condo,2274.0
Kamloops,BC,50.6788982,-120.2632361,499900.0,3.0,2.0,Condo,1334.0
Sun Peaks,BC,50.879835,-119.894147,2099000.0,4.0,4.0,Single Family,3483.0
Coldstream,BC,50.2375495,-119.2663018,419500.0,2.0,1.0,Single Family,1245.0
Surrey,BC,49.1957108,-122.8563207,439000.0,1.0,1.0,Condo,532.0
Kamloops,BC,50.6618767,-120.2772762,1089000.0,5.0,4.0,Single Family,3381.0
Burns Lake,BC,54.2505096,-125.7574575,284000.0,3.0,1.0,Single Family,1460.0
Powell River,BC,49.8179348,-124.5153997,1049900.0,5.0,4.0,Single Family,3600.0
Revelstoke,BC,50.9765854,-118.1731491,1150000.0,3.0,3.0,Condo,1168.0
Nelson,BC,49.6191101,-116.9969025,179000.0,2.0,2.0,Single Family,935.0
Penticton,BC,49.4887282,-119.5722698,795000.0,3.0,3.0,Single Family,1874.0
Kelowna,BC,49.8801918,-119.4116669,869000.0,4.0,3.0,Single Family,2357.0
West Kelowna,BC,49.822567,-119.5908813,674900.0,2.0,2.0,Condo,1120.0
Savary Island,BC,49.9391594,-124.7791672,969000.0,3.0,2.0,Single Family,2114.0
Langley,BC,49.1634563,-122.6228233,999999.0,3.0,3.0,Single Family,1808.0
Quesnel,BC,52.968995,-122.5127094,125900.0,2.0,1.0,Condo,826.0
West Kelowna,BC,49.8483582,-119.583313,2999000.0,3.0,4.0,Single Family,4280.0
Kamloops,BC,50.6534538,-119.9772034,1699900.0,5.0,5.0,Single Family,4000.0
Barriere,BC,51.1905975,-120.1376419,595000.0,3.0,2.0,Single Family,1340.0
Vancouver,BC,49.2776305,-123.1229582,729000.0,1.0,1.0,Condo,708.0
Spallumcheen,BC,50.3419734,-119.2715559,1289000.0,3.0,3.0,Single Family,1933.0
Big White,BC,49.7254486,-118.9283981,798000.0,2.0,2.0,Condo,1139.0
Merritt,BC,50.115327,-120.787113,550000.0,4.0,2.0,Single Family,2080.0
Quesnel,BC,52.968995,-122.5127094,146900.0,2.0,1.0,Condo,820.0
Williams Lake,BC,52.1436419,-122.1477608,424000.0,4.0,2.0,Single Family,1625.0
Salmon Arm,BC,50.6964384,-119.2654865,789000.0,4.0,3.0,Single Family,2448.0
Kelowna,BC,49.8560212,-119.4909539,669000.0,1.0,2.0,Condo,675.0
Blind Bay,BC,50.8617807,-119.3622412,839900.0,3.0,3.0,Single Family,3108.0
Smithers,BC,54.7905563564366,-127.163916971164,925000.0,4.0,4.0,Single Family,2893.0
Kelowna,BC,49.8904456,-119.4728126,999900.0,5.0,3.0,Single Family,2649.0
Radium Hot Springs,BC,50.6175308,-116.07267,489000.0,3.0,3.0,Single Family,1407.0
Prince George,BC,53.894242,-122.7536435,599900.0,8.0,6.0,MultiFamily,4070.0
Prince George,BC,53.8534456,-122.7700268,359900.0,3.0,1.0,Single Family,1080.0
West Kelowna,BC,49.8387495,-119.6151165,498000.0,2.0,2.0,Single Family,1213.0
Appledale,BC,49.6467552,-117.5273895,789900.0,5.0,3.0,Single Family,4144.0
Penticton,BC,49.498193,-119.6104645,257000.0,3.0,2.0,Single Family,1056.0
Vernon,BC,50.2501791,-119.3331621,1295000.0,4.0,3.0,Single Family,2139.0
New Westminster,BC,49.219555,-122.916785,1628000.0,4.0,4.0,Duplex,2113.0
Courtenay,BC,49.6700134,-125.0102319,2100000.0,4.0,4.0,Single Family,2286.0
Whistler,BC,50.0883528,-123.0070448,3599000.0,5.0,4.0,Single Family,3085.0
Valemount,BC,52.8306265,-119.2699278,179900.0,1.0,1.0,Single Family,775.0
Quesnel,BC,52.9903844,-122.6801346,379900.0,3.0,1.0,Single Family,1246.0
Kamloops,BC,50.7405815,-120.6985168,599900.0,2.0,3.0,Condo/Townhome,1260.0
Peachland,BC,49.7823574,-119.7248536,2849999.0,9.0,8.0,Single Family,6204.0
Golden,BC,51.2945251,-116.9760513,574000.0,3.0,1.0,Single Family,1018.0
Whistler,BC,50.0886017,-123.0000347,1999000.0,4.0,2.0,Duplex,2046.0
Kamloops,BC,50.6675492,-120.1796328,724900.0,4.0,3.0,Single Family,2318.0
Peachland,BC,49.7716056,-119.7557702,1400000.0,5.0,4.0,Single Family,4100.0
Kamloops,BC,50.7635193,-120.3472595,742900.0,3.0,3.0,Single Family,1536.0
Lake Country,BC,50.0734424,-119.4155484,849999.0,3.0,3.0,Single Family,2345.0
Kelowna,BC,49.8940406,-119.494334,889000.0,2.0,2.0,Condo,1053.0
Big White,BC,49.7219276,-118.9254227,205000.0,0.0,1.0,Condo,462.0
Chase,BC,50.826079,-119.682153,615000.0,3.0,2.0,Single Family,2040.0
Penticton,BC,49.5013579,-119.6161913,535000.0,2.0,2.0,Single Family,1670.0
Vancouver,BC,49.2757777,-123.1257613,899000.0,1.0,1.0,Condo,862.0
Blind Bay,BC,50.8769066,-119.3772097,658800.0,4.0,3.0,Single Family,2240.0
Kelowna,BC,49.8806834,-119.4944135,549900.0,2.0,2.0,Condo,1584.0
Kelowna,BC,49.861917,-119.2433624,1199000.0,5.0,2.0,Single Family,2873.0
Nanaimo,BC,49.2459268,-124.0437954,1149900.0,5.0,4.0,Single Family,3478.0
West Kelowna,BC,49.8693944,-119.6149252,1445000.0,4.0,4.0,Single Family,2884.0
Kamloops,BC,50.9367638,-120.2432404,1465000.0,6.0,2.0,Single Family,3200.0
Kamloops,BC,50.6722691,-120.3451343,377000.0,1.0,1.0,Single Family,1000.0
Kamloops,BC,50.762043,-120.9675446,669000.0,2.0,2.0,Single Family,2196.0
Kelowna,BC,49.7901951,-119.5270321,1389000.0,5.0,4.0,Single Family,2949.0
Coldstream,BC,50.2177202,-119.117455,1189000.0,4.0,2.0,Single Family,3365.0
New Westminster,BC,49.200652,-122.950836,1949000.0,3.0,2.0,Single Family,1100.0
Nanaimo,BC,49.218152,-124.025391,399000.0,2.0,1.0,Condo,876.0
Vancouver,BC,49.2901023,-123.1232033,2990000.0,2.0,2.0,Condo,1573.0
Whistler,BC,50.1421116,-122.9529268,3250000.0,3.0,4.0,Townhome,2099.0
Kamloops,BC,50.7346382,-120.3588028,1199999.0,6.0,6.0,Single Family,3415.0
Courtenay,BC,49.663691,-124.973651,789000.0,2.0,1.0,Single Family,1129.0
Langley,BC,49.1576099,-122.6576808,589900.0,0.0,1.0,Condo,791.0
New Westminster,BC,49.224345,-122.8912955,509000.0,1.0,1.0,Condo,522.0
Prince George,BC,54.0117355,-122.8173935,589900.0,3.0,2.0,Single Family,1230.0
Burnaby,BC,49.2208655,-122.9743493,659900.0,3.0,1.0,Condo,916.0
Kelowna,BC,49.9586086,-119.4638898,2985000.0,3.0,3.0,Single Family,2783.0
Cranbrook,BC,49.5115317,-115.7530933,539000.0,4.0,3.0,Single Family,2028.0
Kamloops,BC,50.7000237,-120.3985132,245000.0,2.0,1.0,Condo,800.0
Whistler,BC,50.1818414,-122.8728864,3795000.0,4.0,5.0,Single Family,4385.0
Richmond,BC,49.1889639,-123.1272639,652000.0,1.0,1.0,Condo,600.0
Burnaby,BC,49.2164906,-122.9629421,649800.0,2.0,1.0,Condo,767.0
Lake Country,BC,50.0294094,-119.4331808,2388000.0,3.0,5.0,Single Family,4488.0
Summerland,BC,49.59972,-119.703703,800000.0,6.0,3.0,Single Family,3204.0
West Kelowna,BC,49.8302568,-119.6127732,799900.0,3.0,2.0,Single Family,2140.0
Dawson Creek,BC,55.754595,-120.251634,499900.0,4.0,3.0,Single Family,2345.0
Surrey,BC,49.1908127,-122.8268204,409900.0,0.0,1.0,Condo,383.0
Vancouver,BC,49.2412212,-123.0575805,569900.0,1.0,1.0,Condo,549.0
Richmond,BC,49.1709662,-123.1620299,558000.0,1.0,1.0,Condo,715.0
Pritchard,BC,50.687028,-119.830532,749900.0,3.0,3.0,Single Family,1286.0
Lake Country,BC,50.0220566,-119.4209824,650000.0,2.0,2.0,Condo/Townhome,1246.0
Kamloops,BC,50.7312979,-120.3601682,718900.0,3.0,4.0,Single Family,2400.0
Squamish,BC,49.7357595,-123.1197502,998900.0,2.0,3.0,Condo/Townhome,1464.0
Surrey,BC,49.1857541,-122.8409675,624900.0,2.0,2.0,Condo,1340.0
Fort St. John,BC,56.2474555,-120.8263467,200000.0,3.0,2.0,Condo,1250.0
100 Mile House,BC,51.6786649370894,-121.214156555295,679900.0,4.0,2.0,Single Family,2008.0
Maple Ridge,BC,49.1787167,-122.4280895,1499000.0,2.0,1.0,Single Family,910.0
Vancouver,BC,49.2346082,-123.0607289,2200000.0,4.0,2.0,Single Family,2261.0
Kelowna,BC,49.8885271,-119.3628266,1199000.0,2.0,3.0,Single Family,2048.0
Richmond,BC,49.1689171,-123.1317802,648000.0,2.0,2.0,Condo,803.0
Langley,BC,49.1623995,-122.5910335,4399000.0,6.0,6.0,Single Family,5911.0
Coombs,BC,49.296948,-124.469986,1100000.0,3.0,2.0,Single Family,1369.0
Chilliwack,BC,49.1699837,-121.9788978,622500.0,3.0,3.0,Condo/Townhome,1825.0
Vernon,BC,50.1861104,-119.3973673,1499000.0,3.0,3.0,Single Family,2830.0
Vernon,BC,50.3058395,-119.2132645,799000.0,2.0,2.0,Condo,1365.0
Kelowna,BC,49.8800125,-119.47509,480000.0,2.0,2.0,Condo,974.0
Prince George,BC,53.897376,-122.7512047,434000.0,4.0,2.0,Single Family,2080.0
Port Alberni,BC,49.240453,-124.794749,449000.0,4.0,2.0,Single Family,1910.0
Chilliwack,BC,49.1767491,-121.9483535,1069000.0,4.0,3.0,Single Family,2370.0
Coquitlam,BC,49.2491281,-122.8635544,599900.0,1.0,1.0,Condo,541.0
West Kelowna,BC,49.8302455,-119.6483971,749900.0,3.0,3.0,Single Family,2095.0
Coldstream,BC,50.2250631,-119.1304987,2199000.0,3.0,3.0,Single Family,3194.0
Savary Island,BC,49.9380836,-124.823082,1448000.0,3.0,2.0,Single Family,1718.0
Vancouver,BC,49.2792468,-123.1255314,770000.0,2.0,0.0,Condo,750.0
Campbell River,BC,49.9536993,-125.2086999,779900.0,3.0,2.0,Single Family,1702.0
Richmond,BC,49.1761244,-123.1475521,1498000.0,3.0,3.0,Condo,1310.0
West Kelowna,BC,49.8453021,-119.5722794,1599000.0,5.0,4.0,Single Family,3501.0
Keremeos,BC,49.2057304,-119.8217926,574900.0,2.0,2.0,Single Family,1196.0
Kelowna,BC,49.8860395,-119.462489,499900.0,3.0,2.0,Single Family,1807.0
Courtenay,BC,49.7627834,-125.021098,2495000.0,6.0,5.0,Single Family,4833.0
Prince George,BC,53.9147059,-122.7710213,432500.0,4.0,2.0,Single Family,1556.0
Savary Island,BC,49.9398522,-124.8538336,685000.0,2.0,2.0,Single Family,1350.0
West Kelowna,BC,49.8924866,-119.5568619,924900.0,2.0,3.0,Single Family,1549.0
Vernon,BC,50.2581105,-119.2916003,438800.0,3.0,2.0,Condo,1536.0
Okanagan Falls,BC,49.4017143,-119.5637665,1099999.0,3.0,3.0,Single Family,2244.0
Kamloops,BC,50.6666517,-120.1802444,659900.0,4.0,3.0,Single Family,2190.0
Surrey,BC,49.194545,-122.810089,550000.0,2.0,1.0,Townhome,850.0
Surrey,BC,49.1685297,-122.8378112,2599000.0,9.0,7.0,Single Family,3874.0
Peachland,BC,49.7669067,-119.7459335,990000.0,2.0,3.0,Condo,1814.0
Langley,BC,49.1720228,-122.6305517,1199900.0,3.0,2.0,Single Family,1573.0
Richmond,BC,49.189992,-123.1269325,918000.0,2.0,2.0,Condo,928.0
Vancouver,BC,49.2881661,-123.1241567,799000.0,1.0,1.0,Condo,688.0
Vancouver,BC,49.2788252,-123.1077788,699000.0,1.0,1.0,Condo,588.0
Surrey,BC,49.1858395,-122.7947919,799990.0,3.0,3.0,Condo/Townhome,1346.0
Kamloops,BC,50.6681175,-120.2076035,227500.0,3.0,2.0,Single Family,1150.0
Courtenay,BC,49.7039452,-124.954662,1395000.0,3.0,3.0,Single Family,2124.0
Prince George,BC,53.9280111,-122.8056985,449900.0,4.0,2.0,Single Family,1824.0
Halfmoon Bay,BC,49.4813264,-123.9024175,1849000.0,2.0,2.0,Single Family,2160.0
Vancouver,BC,49.2923591,-123.1326009,1600000.0,2.0,2.0,Condo,1144.0
North Vancouver,BC,49.328643,-123.049575,1799000.0,3.0,4.0,Single Family,2808.0
Vancouver,BC,49.2625831,-123.1514328,948000.0,2.0,2.0,Condo,875.0
New Westminster,BC,49.184864,-122.947528,1999000.0,6.0,6.0,Single Family,3058.0
Chilliwack,BC,49.1732093,-121.9468603,299900.0,1.0,1.0,Condo,661.0
West Kelowna,BC,49.8577347,-119.6186981,924900.0,2.0,3.0,Condo,2418.0
Oyama,BC,50.1278534,-119.3876724,1225000.0,4.0,3.0,Single Family,2844.0
Vancouver,BC,49.2387201,-123.1181326,1575900.0,2.0,2.0,Condo,926.0
Port Hardy,BC,50.723083,-127.496486,248000.0,3.0,1.0,Manufactured Home,1056.0
Vancouver,BC,49.2387201,-123.1181326,950900.0,2.0,1.0,Condo,592.0
Surrey,BC,49.1688096,-122.8691863,1699000.0,7.0,5.0,Single Family,3177.0
West Vancouver,BC,49.3445832,-123.2190852,4270000.0,5.0,5.0,Single Family,3650.0
Parksville,BC,49.314035,-124.315766,759900.0,5.0,3.0,Single Family,1754.0
North Vancouver,BC,49.3229347,-123.1151908,880000.0,2.0,2.0,Condo/Townhome,975.0
Castlegar,BC,49.286,-117.653856,534900.0,4.0,2.0,Single Family,2132.0
Kelowna,BC,49.8028336,-119.4724197,409900.0,1.0,1.0,Condo,659.0
Kelowna,BC,50.0063591,-119.3972473,688800.0,1.0,1.0,Mobile Home,968.0
Surrey,BC,49.194477,-122.8353648,498000.0,2.0,2.0,Condo,777.0
Surrey,BC,49.1859915,-122.780712,1298000.0,3.0,2.0,Single Family,1957.0
Maple Ridge,BC,49.2253389,-122.5994191,685000.0,2.0,2.0,Condo,1206.0
Vancouver,BC,49.2755788,-123.1278306,889000.0,2.0,1.0,Condo,709.0
Kelowna,BC,49.858253,-119.479314,725000.0,2.0,2.0,Condo,1492.0
West Kelowna,BC,49.8472737,-119.5744325,1774900.0,4.0,3.0,Single Family,4117.0
Lake Country,BC,50.0653791,-119.4189542,994000.0,3.0,3.0,Single Family,2640.0
Maple Ridge,BC,49.1870833,-122.523303,3333000.0,3.0,3.0,Single Family,2721.0
New Westminster,BC,49.198516,-122.918937,1099999.0,2.0,2.0,Condo,1171.0
New Westminster,BC,49.212584,-122.923831,699900.0,2.0,2.0,Condo,1066.0
Vernon,BC,50.2590239,-119.3095729,749900.0,4.0,3.0,Single Family,1613.0
Castlegar,BC,49.321798,-117.663255,549900.0,4.0,2.0,Single Family,2136.0
Surrey,BC,49.2080554,-122.8106575,1465000.0,5.0,3.0,Single Family,2340.0
Richmond,BC,49.166587,-123.13447,599900.0,1.0,1.0,Condo,450.0
Courtenay,BC,49.738553,-125.309396,248900.0,1.0,1.0,Condo,600.0
Surrey,BC,49.2026647,-122.8158023,1295000.0,4.0,2.0,Single Family,1800.0
Penticton,BC,49.5033201,-119.5826433,2500000.0,4.0,4.0,Single Family,3719.0
Penticton,BC,49.4575649,-119.617002,849000.0,2.0,2.0,Single Family,1444.0
Vancouver,BC,49.2454358,-123.1186925,2079900.0,3.0,3.0,Condo/Townhome,1634.0
Coquitlam,BC,49.2819691,-122.7939495,649000.0,1.0,1.0,Condo,637.0
Maple Ridge,BC,49.232853,-122.5547466,1895000.0,5.0,4.0,Single Family,3820.0
North Vancouver,BC,49.3249785,-123.1222846,1442900.0,2.0,2.0,Condo,823.0
Surrey,BC,49.1824814,-122.8706632,1929000.0,8.0,6.0,Single Family,3759.0
Whistler,BC,50.1178348,-122.9422919,1799000.0,2.0,2.0,Condo,934.0
Vancouver,BC,49.2817925,-123.104127,489900.0,1.0,1.0,Condo,412.0
Lions Bay,BC,49.450822,-123.235779,2325000.0,4.0,3.0,Single Family,2707.0
Prince George,BC,53.951841,-122.7499995,819900.0,4.0,3.0,Single Family,2655.0
Vancouver,BC,49.2749667,-123.1153764,1068000.0,2.0,2.0,Condo,783.0
West Vancouver,BC,49.3398053,-123.1635208,2888000.0,4.0,3.0,Single Family,3698.0
Maple Ridge,BC,49.2337923,-122.4999415,2099000.0,6.0,3.0,Single Family,3494.0
Vancouver,BC,49.2449448,-123.1187266,1999900.0,3.0,3.0,Condo/Townhome,1628.0
Chilliwack,BC,49.1731323,-121.9477992,284900.0,1.0,1.0,Condo,562.0
Parksville,BC,49.313786,-124.271549,599000.0,2.0,1.0,Townhome,864.0
Whistler,BC,50.1210428,-122.9364316,429000.0,2.0,3.0,Condo/Townhome,1230.0
Burnaby,BC,49.265772,-122.988923,589900.0,2.0,1.0,Condo,907.0
Madeira Park,BC,49.6146222,-124.025899,475000.0,1.0,1.0,Single Family,1060.0
Port Alberni,BC,49.242752,-124.801776,484900.0,2.0,1.0,Single Family,1328.0
Surrey,BC,49.1890627,-122.8337744,2030000.0,3.0,1.0,Single Family,2382.0
North Vancouver,BC,49.321152,-123.0919439,659800.0,1.0,1.0,Condo,663.0
Burnaby,BC,49.273653,-122.9418473,2870000.0,5.0,5.0,Single Family,6725.0
Hope,BC,49.3838604,-121.4336702,530000.0,2.0,1.0,Single Family,1496.0
Surrey,BC,49.1887782,-122.8337752,2030000.0,6.0,2.0,Single Family,2422.0
Surrey,BC,49.1606921,-122.8012194,2198000.0,5.0,6.0,Single Family,3751.0
Chilliwack,BC,49.1721963,-121.9414328,1049900.0,5.0,3.0,Single Family,2543.0
Port Coquitlam,BC,49.256978,-122.786019,815000.0,3.0,3.0,Condo/Townhome,1260.0
Vancouver,BC,49.2065576,-123.0651428,569900.0,1.0,1.0,Condo,687.0
Chilliwack,BC,49.1706151,-121.9471818,330000.0,2.0,1.0,Condo,778.0
Burnaby,BC,49.2653459,-122.9491067,999999.0,3.0,2.0,Townhome,1248.0
Surrey,BC,49.1661193,-122.8118472,1299000.0,5.0,2.0,Single Family,2466.0
Maple Ridge,BC,49.2139443,-122.5972335,599000.0,2.0,2.0,Townhome,1231.0
Vancouver,BC,49.2880558,-123.1168602,5280000.0,2.0,3.0,Condo,2320.0
Coquitlam,BC,49.2857734,-122.7957798,624900.0,0.0,2.0,Condo,996.0
Surrey,BC,49.1969856,-122.8022643,499000.0,2.0,1.0,Condo,915.0
Vancouver,BC,49.2518259,-123.2375802,828800.0,1.0,1.0,Condo,530.0
Surrey,BC,49.179957,-122.7776686,1869000.0,8.0,5.0,Single Family,3815.0
West Vancouver,BC,49.3408653,-123.2153537,3195000.0,4.0,2.0,Single Family,2100.0
Vancouver,BC,49.2472611,-123.0246124,1650000.0,3.0,2.0,Single Family,1717.0
Halfmoon Bay,BC,49.4771726,-123.8782888,599000.0,2.0,2.0,Single Family,1490.0
New Westminster,BC,49.2011661,-122.9093929,1129000.0,3.0,2.0,Condo,1206.0
Merville,BC,49.821997,-125.046073,909600.0,3.0,3.0,Single Family,1669.0
Vancouver,BC,49.2518259,-123.2375802,928800.0,1.0,1.0,Condo,590.0
West Vancouver,BC,49.3329265,-123.1791861,1849000.0,2.0,2.0,Condo,1093.0
Burnaby,BC,49.2203063,-122.9569312,568888.0,1.0,1.0,Condo,621.0
Chilliwack,BC,49.1617111,-121.9894554,629900.0,3.0,3.0,Townhome,1556.0
New Westminster,BC,49.1906294,-122.9273817,775000.0,2.0,2.0,Condo,984.0
Coquitlam,BC,49.2636896,-122.8919608,621900.0,1.0,1.0,Condo,535.0
Nelson,BC,49.486292,-117.286819,699000.0,4.0,2.0,Single Family,2193.0
Vancouver,BC,49.2087894,-123.1362926,499000.0,1.0,1.0,Condo,615.0
Qualicum Beach,BC,49.3441114,-124.4622033,899000.0,3.0,2.0,Single Family,1790.0
Burnaby,BC,49.2635425,-122.9998239,599000.0,2.0,1.0,Condo,641.0
Burnaby,BC,49.2827581,-123.0217143,3200000.0,3.0,3.0,Single Family,2336.0
Courtenay,BC,49.6933451,-124.9680895,1199998.0,4.0,4.0,Single Family,3756.0
Vancouver,BC,49.2314391,-123.0780782,1799000.0,6.0,2.0,Single Family,2034.0
Burnaby,BC,49.228378,-122.9346189,2399000.0,7.0,4.0,Single Family,3817.0
West Vancouver,BC,49.3530993,-123.2510091,2298000.0,4.0,5.0,Single Family,3398.0
North Vancouver,BC,49.347559,-123.024412,2249900.0,5.0,3.0,Single Family,2220.0
Burnaby,BC,49.2780547,-122.903688,599900.0,2.0,1.0,Condo,944.0
Hope,BC,49.3542498,-121.4702768,749000.0,4.0,3.0,Single Family,2080.0
Burnaby,BC,49.217134,-122.9364445,1650000.0,3.0,2.0,Single Family,1680.0
Richmond,BC,49.1638028,-123.1300086,635000.0,1.0,1.0,Condo,766.0
Burnaby,BC,49.2819325,-123.0212473,529900.0,1.0,1.0,Condo,696.0
Courtenay,BC,49.7648673,-125.0174399,1200000.0,3.0,1.0,Single Family,1085.0
